data;ticker;fechamento_b3_rs;fechamento_ajustado_rs;volume_rs
2025-02-26;ITUB4;32,77;28,9232;710105932,00
2025-02-27;ITUB4;32,74;28,8967;682724046,00
2025-02-28;ITUB4;31,94;28,1906;1137651541,00
2025-03-05;ITUB4;32,40;28,5966;840466075,00
2025-03-06;ITUB4;32,46;28,6496;604245400,00
2025-03-07;ITUB4;32,60;28,7732;674662011,00
2025-03-10;ITUB4;32,89;29,0291;905284469,00
2025-03-11;ITUB4;32,60;28,7732;604663421,00
2025-03-12;ITUB4;32,70;28,8614;584500818,00
2025-03-13;ITUB4;33,23;29,3292;956388996,00
2025-03-14;ITUB4;34,31;30,2824;1081968332,00
2025-03-17;ITUB4;35,34;31,1915;952762290,00
2025-03-18;ITUB4;32,30;31,3592;967376607,00
2025-03-19;ITUB4;32,38;31,4369;799948861,00
2025-03-20;ITUB4;32,08;31,1456;1002447775,00
2025-03-21;ITUB4;32,15;31,2136;1529260526,00
2025-03-24;ITUB4;32,18;31,2427;1024050625,00
2025-03-25;ITUB4;32,44;31,4951;619796154,00
2025-03-26;ITUB4;32,09;31,1553;1024813357,00
2025-03-27;ITUB4;32,13;31,1942;914509749,00
2025-03-28;ITUB4;31,69;30,7670;706356582,00
2025-03-31;ITUB4;31,41;30,4951;796744242,00
2025-04-01;ITUB4;31,40;30,4854;389118586,00
2025-04-02;ITUB4;31,41;30,4951;369759258,00
2025-04-03;ITUB4;31,97;31,0388;1017270913,00
2025-04-04;ITUB4;31,14;30,2330;986125361,00
2025-04-07;ITUB4;31,20;30,2913;1005475087,00
2025-04-08;ITUB4;31,21;30,3010;1127550237,00
2025-04-09;ITUB4;31,78;30,8544;1163203636,00
2025-04-10;ITUB4;31,65;30,7282;1116555461,00
2025-04-11;ITUB4;31,81;30,8835;877487275,00
2025-04-14;ITUB4;32,33;31,3883;847855329,00
2025-04-15;ITUB4;32,74;31,7864;815453866,00
2025-04-16;ITUB4;32,69;31,7379;1028649734,00
2025-04-17;ITUB4;32,75;31,7961;650374880,00
2025-04-22;ITUB4;33,39;32,4175;698803880,00
2025-04-23;ITUB4;34,09;33,0971;926864319,00
2025-04-24;ITUB4;34,75;33,7379;930710334,00
2025-04-25;ITUB4;34,62;33,6117;1102724910,00
2025-04-28;ITUB4;34,99;33,9709;531069227,00
2025-04-29;ITUB4;35,27;34,2427;862422933,00
2025-04-30;ITUB4;35,58;34,5437;1115177532,00
2025-05-02;ITUB4;35,47;34,4369;1340548718,00
2025-05-05;ITUB4;34,84;33,8252;967155299,00
2025-05-06;ITUB4;34,66;33,6505;598712815,00
2025-05-07;ITUB4;35,04;34,0194;468385144,00
2025-05-08;ITUB4;35,32;34,2913;1180309536,00
2025-05-09;ITUB4;37,23;36,1456;2140836171,00
2025-05-12;ITUB4;36,48;35,4175;984588031,00
2025-05-13;ITUB4;36,93;35,8544;908269189,00
2025-05-14;ITUB4;37,18;36,0971;663744236,00
2025-05-15;ITUB4;37,68;36,5825;987929472,00
2025-05-16;ITUB4;37,90;36,7961;1119259329,00
2025-05-19;ITUB4;38,35;37,2330;933572118,00
2025-05-20;ITUB4;38,30;37,1845;685257650,00
2025-05-21;ITUB4;37,53;36,4369;758713407,00
2025-05-22;ITUB4;37,27;36,1845;856787489,00
2025-05-23;ITUB4;37,72;36,6214;749913388,00
2025-05-26;ITUB4;37,80;36,6990;246020533,00
2025-05-27;ITUB4;38,10;36,9903;561294728,00
2025-05-28;ITUB4;37,79;36,6893;550279320,00
2025-05-29;ITUB4;37,49;36,3981;657724232,00
2025-05-30;ITUB4;37,43;36,3398;1167473639,00
